"Entity","Aliases","Toxicity","Purification_Keywords"
"අබිං මල්","අහිපේන, ඛස්ඛස් මල්","High","ඉඟුරු යුෂ"
"අබිං ගෙඩි","අහිපේන, ඛස්ඛස් ගෙඩි","High","ඉඟුරු යුෂ"
"අබිං ඇට","අහිපේන, ඛස්ඛස් ඇට","High","ඉඟුරු යුෂ"
"අබිං යුෂ","අහිපේන, ඛස්ඛස් යුෂ","High","ඉඟුරු යුෂ"
"අබිං තෛලය","අහිපේන, ඛස්ඛස් තෛලය","High","ඉඟුරු යුෂ"
"අබිං චූර්ණය","අහිපේන, ඛස්ඛස් චූර්ණය","High","ඉඟුරු යුෂ"
"ගංජා මුල්","භංගා, විජයා, මදනී මුල්","Medium-High","එළකිරි, ජලය"
"ගංජා පොතු","භංගා, විජයා, මදනී පොතු","Medium-High","එළකිරි, ජලය"
"ගංජා කොළ","භංගා, විජයා, මදනී කොළ","Medium-High","එළකිරි, ජලය"
"ගංජා මල්","භංගා, විජයා, මදනී මල්","Medium-High","එළකිරි, ජලය"
"ගංජා ගෙඩි","භංගා, විජයා, මදනී ගෙඩි","Medium-High","එළකිරි, ජලය"
"ගංජා ඇට","භංගා, විජයා, මදනී ඇට","Medium-High","එළකිරි, ජලය"
"ගංජා යුෂ","භංගා, විජයා, මදනී යුෂ","Medium-High","එළකිරි, ජලය"
"ගංජා තෛලය","භංගා, විජයා, මදනී තෛලය","Medium-High","එළකිරි, ජලය"
"ගංජා චූර්ණය","භංගා, විජයා, මදනී චූර්ණය","Medium-High","එළකිරි, ජලය"
"වරා මුල්","අර්ක, සූර්යපත්‍ර මුල්","Medium-High","එළකිරි, ජලය"
"වරා පොතු","අර්ක, සූර්යපත්‍ර පොතු","Medium-High","එළකිරි, ජලය"
"වරා කොළ","අර්ක, සූර්යපත්‍ර කොළ","Medium-High","එළකිරි, ජලය"
"වරා මල්","අර්ක, සූර්යපත්‍ර මල්","Medium-High","එළකිරි, ජලය"
"වරා ගෙඩි","අර්ක, සූර්යපත්‍ර ගෙඩි","Medium-High","එළකිරි, ජලය"
"වරා ඇට","අර්ක, සූර්යපත්‍ර ඇට","Medium-High","එළකිරි, ජලය"
"වරා යුෂ","අර්ක, සූර්යපත්‍ර යුෂ","Medium-High","එළකිරි, ජලය"
"වරා තෛලය","අර්ක, සූර්යපත්‍ර තෛලය","Medium-High","එළකිරි, ජලය"
"වරා චූර්ණය","අර්ක, සූර්යපත්‍ර චූර්ණය","Medium-High","එළකිරි, ජලය"
"එඬරු මුල්","ඒරණ්ඩ, පංචාංගුල මුල්","Medium","එළකිරි, උණු ජලය"
"එඬරු පොතු","ඒරණ්ඩ, පංචාංගුල පොතු","Medium","එළකිරි, උණු ජලය"
"එඬරු කොළ","ඒරණ්ඩ, පංචාංගුල කොළ","Medium","එළකිරි, උණු ජලය"
"එඬරු මල්","ඒරණ්ඩ, පංචාංගුල මල්","Medium","එළකිරි, උණු ජලය"
"එඬරු ගෙඩි","ඒරණ්ඩ, පංචාංගුල ගෙඩි","Medium","එළකිරි, උණු ජලය"
"එඬරු ඇට","ඒරණ්ඩ, පංචාංගුල ඇට","Medium","එළකිරි, උණු ජලය"
"එඬරු යුෂ","ඒරණ්ඩ, පංචාංගුල යුෂ","Medium","එළකිරි, උණු ජලය"
"එඬරු තෛලය","ඒරණ්ඩ, පංචාංගුල තෛලය","Medium","එළකිරි, උණු ජලය"
"එඬරු චූර්ණය","ඒරණ්ඩ, පංචාංගුල චූර්ණය","Medium","එළකිරි, උණු ජලය"
"ඔලින්ද මුල්","ගුංජා, රක්තිකා මුල්","High","එළකිරි, කාංජිකා"
"ඔලින්ද පොතු","ගුංජා, රක්තිකා පොතු","High","එළකිරි, කාංජිකා"
"ඔලින්ද කොළ","ගුංජා, රක්තිකා කොළ","High","එළකිරි, කාංජිකා"
"ඔලින්ද මල්","ගුංජා, රක්තිකා මල්","High","එළකිරි, කාංජිකා"
"ඔලින්ද ගෙඩි","ගුංජා, රක්තිකා ගෙඩි","High","එළකිරි, කාංජිකා"
"ඔලින්ද ඇට","ගුංජා, රක්තිකා ඇට","High","එළකිරි, කාංජිකා"
"ඔලින්ද යුෂ","ගුංජා, රක්තිකා යුෂ","High","එළකිරි, කාංජිකා"
"ඔලින්ද තෛලය","ගුංජා, රක්තිකා තෛලය","High","එළකිරි, කාංජිකා"
"ඔලින්ද චූර්ණය","ගුංජා, රක්තිකා චූර්ණය","High","එළකිරි, කාංජිකා"
"භාල්ලාතක මුල්","කෑල, අරැෂ්කර මුල්","High","ගඩොල් කුඩු, හුණු ජලය"
"භාල්ලාතක පොතු","කෑල, අරැෂ්කර පොතු","High","ගඩොල් කුඩු, හුණු ජලය"
"භාල්ලාතක කොළ","කෑල, අරැෂ්කර කොළ","High","ගඩොල් කුඩු, හුණු ජලය"
"භාල්ලාතක මල්","කෑල, අරැෂ්කර මල්","High","ගඩොල් කුඩු, හුණු ජලය"
"භාල්ලාතක ගෙඩි","කෑල, අරැෂ්කර ගෙඩි","High","ගඩොල් කුඩු, හුණු ජලය"
"භාල්ලාතක ඇට","කෑල, අරැෂ්කර ඇට","High","ගඩොල් කුඩු, හුණු ජලය"
"භාල්ලාතක යුෂ","කෑල, අරැෂ්කර යුෂ","High","ගඩොල් කුඩු, හුණු ජලය"
"භාල්ලාතක තෛලය","කෑල, අරැෂ්කර තෛලය","High","ගඩොල් කුඩු, හුණු ජලය"
"භාල්ලාතක චූර්ණය","කෑල, අරැෂ්කර චූර්ණය","High","ගඩොල් කුඩු, හුණු ජලය"
"සදිලිංගම් මුල්","හිංගුල, රක්ත මුල්","High","දෙහි යුෂ, ඉඟුරු යුෂ"
"සදිලිංගම් පොතු","හිංගුල, රක්ත පොතු","High","දෙහි යුෂ, ඉඟුරු යුෂ"
"සදිලිංගම් කොළ","හිංගුල, රක්ත කොළ","High","දෙහි යුෂ, ඉඟුරු යුෂ"
"සදිලිංගම් මල්","හිංගුල, රක්ත මල්","High","දෙහි යුෂ, ඉඟුරු යුෂ"
"සදිලිංගම් ගෙඩි","හිංගුල, රක්ත ගෙඩි","High","දෙහි යුෂ, ඉඟුරු යුෂ"
"සදිලිංගම් ඇට","හිංගුල, රක්ත ඇට","High","දෙහි යුෂ, ඉඟුරු යුෂ"
"සදිලිංගම් යුෂ","හිංගුල, රක්ත යුෂ","High","දෙහි යුෂ, ඉඟුරු යුෂ"
"සදිලිංගම් තෛලය","හිංගුල, රක්ත තෛලය","High","දෙහි යුෂ, ඉඟුරු යුෂ"
"සදිලිංගම් චූර්ණය","හිංගුල, රක්ත චූර්ණය","High","දෙහි යුෂ, ඉඟුරු යුෂ"
"රසදිය මුල්","පාරද, රස මුල්","High","සුදුළූණු, ලුණු, දෙහි යුෂ"
"රසදිය පොතු","පාරද, රස පොතු","High","සුදුළූණු, ලුණු, දෙහි යුෂ"
"රසදිය කොළ","පාරද, රස කොළ","High","සුදුළූණු, ලුණු, දෙහි යුෂ"
"රසදිය මල්","පාරද, රස මල්","High","සුදුළූණු, ලුණු, දෙහි යුෂ"
"රසදිය ගෙඩි","පාරද, රස ගෙඩි","High","සුදුළූණු, ලුණු, දෙහි යුෂ"
"රසදිය ඇට","පාරද, රස ඇට","High","සුදුළූණු, ලුණු, දෙහි යුෂ"
"රසදිය යුෂ","පාරද, රස යුෂ","High","සුදුළූණු, ලුණු, දෙහි යුෂ"
"රසදිය තෛලය","පාරද, රස තෛලය","High","සුදුළූණු, ලුණු, දෙහි යුෂ"
"රසදිය චූර්ණය","පාරද, රස චූර්ණය","High","සුදුළූණු, ලුණු, දෙහි යුෂ"
"ගෙන්දගම් මුල්","ගන්ධක, ශුල්වාරි මුල්","High","එළකිරි, ගිතෙල්"
"ගෙන්දගම් පොතු","ගන්ධක, ශුල්වාරි පොතු","High","එළකිරි, ගිතෙල්"
"ගෙන්දගම් කොළ","ගන්ධක, ශුල්වාරි කොළ","High","එළකිරි, ගිතෙල්"
"ගෙන්දගම් මල්","ගන්ධක, ශුල්වාරි මල්","High","එළකිරි, ගිතෙල්"
"ගෙන්දගම් ගෙඩි","ගන්ධක, ශුල්වාරි ගෙඩි","High","එළකිරි, ගිතෙල්"
"ගෙන්දගම් ඇට","ගන්ධක, ශුල්වාරි ඇට","High","එළකිරි, ගිතෙල්"
"ගෙන්දගම් යුෂ","ගන්ධක, ශුල්වාරි යුෂ","High","එළකිරි, ගිතෙල්"
"ගෙන්දගම් තෛලය","ගන්ධක, ශුල්වාරි තෛලය","High","එළකිරි, ගිතෙල්"
"ගෙන්දගම් චූර්ණය","ගන්ධක, ශුල්වාරි චූර්ණය","High","එළකිරි, ගිතෙල්"
"හිරියල් මුල්","හරිදාල, තාලක මුල්","High","හුණු ජලය, අළුපුහුල් යුෂ"
"හිරියල් පොතු","හරිදාල, තාලක පොතු","High","හුණු ජලය, අළුපුහුල් යුෂ"
"හිරියල් කොළ","හරිදාල, තාලක කොළ","High","හුණු ජලය, අළුපුහුල් යුෂ"
"හිරියල් මල්","හරිදාල, තාලක මල්","High","හුණු ජලය, අළුපුහුල් යුෂ"
"හිරියල් ගෙඩි","හරිදාල, තාලක ගෙඩි","High","හුණු ජලය, අළුපුහුල් යුෂ"
"හිරියල් ඇට","හරිදාල, තාලක ඇට","High","හුණු ජලය, අළුපුහුල් යුෂ"
"හිරියල් යුෂ","හරිදාල, තාලක යුෂ","High","හුණු ජලය, අළුපුහුල් යුෂ"
"හිරියල් තෛලය","හරිදාල, තාලක තෛලය","High","හුණු ජලය, අළුපුහුල් යුෂ"
"හිරියල් චූර්ණය","හරිදාල, තාලක චූර්ණය","High","හුණු ජලය, අළුපුහුල් යුෂ"
"මනෝසීල මුල්","මනහ්ශිලා මුල්","High","ඉඟුරු යුෂ"
"මනෝසීල පොතු","මනහ්ශිලා පොතු","High","ඉඟුරු යුෂ"
"මනෝසීල කොළ","මනහ්ශිලා කොළ","High","ඉඟුරු යුෂ"
"මනෝසීල මල්","මනහ්ශිලා මල්","High","ඉඟුරු යුෂ"
"මනෝසීල ගෙඩි","මනහ්ශිලා ගෙඩි","High","ඉඟුරු යුෂ"
"මනෝසීල ඇට","මනහ්ශිලා ඇට","High","ඉඟුරු යුෂ"
"මනෝසීල යුෂ","මනහ්ශිලා යුෂ","High","ඉඟුරු යුෂ"
"මනෝසීල තෛලය","මනහ්ශිලා තෛලය","High","ඉඟුරු යුෂ"
"මනෝසීල චූර්ණය","මනහ්ශිලා චූර්ණය","High","ඉඟුරු යුෂ"
"තුරීසි මුල්","තුත්ත, නීල මුල්","High","දෙහි යුෂ, මෝරු"
"තුරීසි පොතු","තුත්ත, නීල පොතු","High","දෙහි යුෂ, මෝරු"
"තුරීසි කොළ","තුත්ත, නීල කොළ","High","දෙහි යුෂ, මෝරු"
"තුරීසි මල්","තුත්ත, නීල මල්","High","දෙහි යුෂ, මෝරු"
"තුරීසි ගෙඩි","තුත්ත, නීල ගෙඩි","High","දෙහි යුෂ, මෝරු"
"තුරීසි ඇට","තුත්ත, නීල ඇට","High","දෙහි යුෂ, මෝරු"
"තුරීසි යුෂ","තුත්ත, නීල යුෂ","High","දෙහි යුෂ, මෝරු"
"තුරීසි තෛලය","තුත්ත, නීල තෛලය","High","දෙහි යුෂ, මෝරු"
"තුරීසි චූර්ණය","තුත්ත, නීල චූර්ණය","High","දෙහි යුෂ, මෝරු"
"අස්වගන්ධ මුල්","අශ්වගන්ධා, වාජීගන්ධා මුල්","Low","කිරි, ජලය"
"අස්වගන්ධ පොතු","අශ්වගන්ධා, වාජීගන්ධා පොතු","Low","කිරි, ජලය"
"අස්වගන්ධ කොළ","අශ්වගන්ධා, වාජීගන්ධා කොළ","Low","කිරි, ජලය"
"අස්වගන්ධ මල්","අශ්වගන්ධා, වාජීගන්ධා මල්","Low","කිරි, ජලය"
"අස්වගන්ධ ගෙඩි","අශ්වගන්ධා, වාජීගන්ධා ගෙඩි","Low","කිරි, ජලය"
"අස්වගන්ධ ඇට","අශ්වගන්ධා, වාජීගන්ධා ඇට","Low","කිරි, ජලය"
"අස්වගන්ධ යුෂ","අශ්වගන්ධා, වාජීගන්ධා යුෂ","Low","කිරි, ජලය"
"අස්වගන්ධ තෛලය","අශ්වගන්ධා, වාජීගන්ධා තෛලය","Low","කිරි, ජලය"
"අස්වගන්ධ චූර්ණය","අශ්වගන්ධා, වාජීගන්ධා චූර්ණය","Low","කිරි, ජලය"
"තිප්පිලි මුල්","පිප්පලී, මාගධී මුල්","Low","මී පැණි, උණු ජලය"
"තිප්පිලි පොතු","පිප්පලී, මාගධී පොතු","Low","මී පැණි, උණු ජලය"
"තිප්පිලි කොළ","පිප්පලී, මාගධී කොළ","Low","මී පැණි, උණු ජලය"
"තිප්පිලි මල්","පිප්පලී, මාගධී මල්","Low","මී පැණි, උණු ජලය"
"තිප්පිලි ගෙඩි","පිප්පලී, මාගධී ගෙඩි","Low","මී පැණි, උණු ජලය"
"තිප්පිලි ඇට","පිප්පලී, මාගධී ඇට","Low","මී පැණි, උණු ජලය"
"තිප්පිලි යුෂ","පිප්පලී, මාගධී යුෂ","Low","මී පැණි, උණු ජලය"
"තිප්පිලි තෛලය","පිප්පලී, මාගධී තෛලය","Low","මී පැණි, උණු ජලය"
"තිප්පිලි චූර්ණය","පිප්පලී, මාගධී චූර්ණය","Low","මී පැණි, උණු ජලය"
"ගම්මිරිස් මුල්","මරිච, කෘෂ්ණ මුල්","Low","ජලය, මී පැණි"
"ගම්මිරිස් පොතු","මරිච, කෘෂ්ණ පොතු","Low","ජලය, මී පැණි"
"ගම්මිරිස් කොළ","මරිච, කෘෂ්ණ කොළ","Low","ජලය, මී පැණි"
"ගම්මිරිස් මල්","මරිච, කෘෂ්ණ මල්","Low","ජලය, මී පැණි"
"ගම්මිරිස් ගෙඩි","මරිච, කෘෂ්ණ ගෙඩි","Low","ජලය, මී පැණි"
"ගම්මිරිස් ඇට","මරිච, කෘෂ්ණ ඇට","Low","ජලය, මී පැණි"
"ගම්මිරිස් යුෂ","මරිච, කෘෂ්ණ යුෂ","Low","ජලය, මී පැණි"
"ගම්මිරිස් තෛලය","මරිච, කෘෂ්ණ තෛලය","Low","ජලය, මී පැණි"
"ගම්මිරිස් චූර්ණය","මරිච, කෘෂ්ණ චූර්ණය","Low","ජලය, මී පැණි"
"ඉඟුරු මුල්","ශුන්ඨි, විශ්ව මුල්","Low","ජලය, හකුරු"
"ඉඟුරු පොතු","ශුන්ඨි, විශ්ව පොතු","Low","ජලය, හකුරු"
"ඉඟුරු කොළ","ශුන්ඨි, විශ්ව කොළ","Low","ජලය, හකුරු"
"ඉඟුරු මල්","ශුන්ඨි, විශ්ව මල්","Low","ජලය, හකුරු"
"ඉඟුරු ගෙඩි","ශුන්ඨි, විශ්ව ගෙඩි","Low","ජලය, හකුරු"
"ඉඟුරු ඇට","ශුන්ඨි, විශ්ව ඇට","Low","ජලය, හකුරු"
"ඉඟුරු යුෂ","ශුන්ඨි, විශ්ව යුෂ","Low","ජලය, හකුරු"
"ඉඟුරු තෛලය","ශුන්ඨි, විශ්ව තෛලය","Low","ජලය, හකුරු"
"ඉඟුරු චූර්ණය","ශුන්ඨි, විශ්ව චූර්ණය","Low","ජලය, හකුරු"
"සූදුරු මුල්","ජීරක මුල්","Low","ජලය, ලුණු"
"සූදුරු පොතු","ජීරක පොතු","Low","ජලය, ලුණු"
"සූදුරු කොළ","ජීරක කොළ","Low","ජලය, ලුණු"
"සූදුරු මල්","ජීරක මල්","Low","ජලය, ලුණු"
"සූදුරු ගෙඩි","ජීරක ගෙඩි","Low","ජලය, ලුණු"
"සූදුරු ඇට","ජීරක ඇට","Low","ජලය, ලුණු"
"සූදුරු යුෂ","ජීරක යුෂ","Low","ජලය, ලුණු"
"සූදුරු තෛලය","ජීරක තෛලය","Low","ජලය, ලුණු"
"සූදුරු චූර්ණය","ජීරක චූර්ණය","Low","ජලය, ලුණු"
"කළුදුරු මුල්","කෘෂ්ණජීරක මුල්","Low","ජලය, ලුණු"
"කළුදුරු පොතු","කෘෂ්ණජීරක පොතු","Low","ජලය, ලුණු"
"කළුදුරු කොළ","කෘෂ්ණජීරක කොළ","Low","ජලය, ලුණු"
"කළුදුරු මල්","කෘෂ්ණජීරක මල්","Low","ජලය, ලුණු"
"කළුදුරු ගෙඩි","කෘෂ්ණජීරක ගෙඩි","Low","ජලය, ලුණු"
"කළුදුරු ඇට","කෘෂ්ණජීරක ඇට","Low","ජලය, ලුණු"
"කළුදුරු යුෂ","කෘෂ්ණජීරක යුෂ","Low","ජලය, ලුණු"
"කළුදුරු තෛලය","කෘෂ්ණජීරක තෛලය","Low","ජලය, ලුණු"
"කළුදුරු චූර්ණය","කෘෂ්ණජීරක චූර්ණය","Low","ජලය, ලුණු"
"කොත්තමල්ලි මුල්","ධන්‍යක මුල්","Low","ජලය, සීනි"
"කොත්තමල්ලි පොතු","ධන්‍යක පොතු","Low","ජලය, සීනි"
"කොත්තමල්ලි කොළ","ධන්‍යක කොළ","Low","ජලය, සීනි"
"කොත්තමල්ලි මල්","ධන්‍යක මල්","Low","ජලය, සීනි"
"කොත්තමල්ලි ගෙඩි","ධන්‍යක ගෙඩි","Low","ජලය, සීනි"
"කොත්තමල්ලි ඇට","ධන්‍යක ඇට","Low","ජලය, සීනි"
"කොත්තමල්ලි යුෂ","ධන්‍යක යුෂ","Low","ජලය, සීනි"
"කොත්තමල්ලි තෛලය","ධන්‍යක තෛලය","Low","ජලය, සීනි"
